0 1500
0.0001 1437
0.0002 1388
0.0003 1347
0.0004 1306
0.0005 1265
0.0006 1229
0.0007 1192
0.0008 1162
0.0009 1129
0.001 1100
0.0011 1079
0.0012 1052
0.0013 1031
0.0014 1012
0.0015 986
0.0016 973
0.0017 959
0.0018 948
0.0019 933
0.002 916
0.0021 900
0.0022 886
0.0023 872
0.0024 855
0.0025 842
0.0026 833
0.0027 820
0.0028 812
0.0029 805
0.003 800
0.0031 792
0.0032 781
0.0033 772
0.0034 767
0.0035 755
0.0036 750
0.0037 743
0.0038 734
0.0039 729
0.004 726
0.0041 720
0.0042 713
0.0043 710
0.0044 704
0.0045 703
0.0046 700
0.0047 696
0.0048 691
0.0049 682
0.005 676
0.0051 670
0.0052 665
0.0053 660
0.0054 656
0.0055 652
0.0056 649
0.0057 648
0.0058 643
0.0059 641
0.006 640
0.0061 634
0.0062 632
0.0063 632
0.0064 624
0.0065 620
0.0066 615
0.0067 611
0.0068 607
0.0069 607
0.007 605
0.0071 598
0.0072 596
0.0073 595
0.0074 593
0.0075 590
0.0076 589
0.0077 588
0.0078 586
0.0079 585
0.008 582
0.0081 581
0.0082 578
0.0083 577
0.0084 577
0.0085 576
0.0086 576
0.0087 576
0.0088 572
0.0089 572
0.009 571
0.0091 571
0.0092 570
0.0093 568
0.0094 568
0.0095 565
0.0096 565
0.0097 563
0.0098 561
0.0099 558
0.01 558
